street_name,num_of_rooms,size,type,location,sold_month,sold_year,initial_price,floor_num,year_built,final_price
Bergsgatan,2,50,Lägenhet, Kungsholmen,jan,2020,4295000,4,1963,4650000
Kinnekullevägen,1.5,43,Lägenhet, Bromma,jan,2020,2395000,3,1935,2820000
Fatburs,2,63,Lägenhet, Södra Station,jan,2020,4395000,1,1992,4775000
Bergslagsvägen,1,38,Lägenhet, Bromma,jan,2020,1995000,3,1941,2440000
Läkarvägen,4,107,Parhus, Spånga,jan,2020,3000000,2,2002,3250000
Vattenledningsvägen,2,39,Lägenhet, Midsommarkransen,jan,2020,2795000,2,1961,2800000
Sämjevägen,5,113,Radhus, Vällingby Nälsta,jan,2020,4175000,1,1961,4140000
Lugnets,3,76,Lägenhet, Hammarby Sjöstad,jan,2020,4300000,1,2002,4300000
Lerbäcksgränd,4,85,Lägenhet, Hagsätra,jan,2020,2195000,2,1959,2240000
Drakenbergsgatan,3,60,Lägenhet, Södermalm Högalid,jan,2020,4595000,5,1967,4690000
Bergsgatan,1,28,Lägenhet, Kungsholmen,jan,2020,2800000,1,1931,2800000
Ringvägen,3,74,Lägenhet, Södermalm,jan,2020,5490000,1,1982,6650000
Tunnlandsvägen,3,54,Lägenhet, Bromma,jan,2020,2495000,2,1963,3050000
Bergsgatan,3,55,Lägenhet, Kungsholmen,jan,2020,4295000,6,1963,4900000
Bastugatan,1,44,Lägenhet, Södermalm,jan,2020,3495000,3,1890,4400000
Björketorpsvägen,2,48,Lägenhet, Norra Ängby,jan,2020,1795000,2,1967,2110000
Klockhammarsgränd,2,38,Lägenhet, Hagsätra,jan,2020,1595000,1,2007,1715000
Olshammarsgatan,2,57,Lägenhet, Ormkärr,jan,2020,1895000,3,1960,2050000
Grantoppsgränd,4,117,Radhus, Hässelby-Vällingby,jan,2020,2995000,3,1976,3450000
Uppgårdsvägen,6,154,Radhus, Spånga,jan,2020,4750000,3,1965,5350000
Bondegatan,1,31,Lägenhet, Södermalm,jan,2020,2850000,3,1940,2950000
Abiskovägen,3,76,Lägenhet, Vällingby Centrum,jan,2020,2495000,9,1954,2850000
Abiskovägen,3,76,Lägenhet, Vällingby Centrum,jan,2020,2495000,9,1954,2850000
Eklångsvägen,2,43,Lägenhet, Årsta,jan,2020,2695000,2,1944,2880000
Sparbanksvägen,3,76,Lägenhet, Hägerstensåsen,jan,2020,2750000,1,1946,3525000
Torneågatan,3,80,Lägenhet, Akalla,jan,2020,1995000,1,1975,2300000
Pargasgatan,5,112,Lägenhet, Akalla,jan,2020,2795000,1,1975,3130000
Sekreterarbacken,5,115,Radhus, Enskededalen,jan,2020,6195000,1,1962,7100000
Palandergatan,2,44,Lägenhet, Hammarbyhöjden,jan,2020,2750000,1,1933,2750000
Ola,2,50,Lägenhet, Kungsholmen,jan,2020,3295000,4,1933,3500000
Geijersvägen,3,76,Lägenhet, Kungsholmen,jan,2020,4495000,3,1980,5100000
Polhemsgatan,2,45,Lägenhet, Kungsholmen,jan,2020,3995000,1,1897,4600000
Sankt,1,32,Lägenhet, Kungsholmen,jan,2020,2750000,2,1904,3225000
Skattungsvägen,3,57,Lägenhet, Årsta,jan,2020,2395000,1,1946,3000000
Guldsmedsvägen,1,20,Lägenhet, Enskededalen,jan,2020,1979166,3,1932,1900000
Dagövägen,3,90,Villa, Enskede Gård,jan,2020,7195000,3,1932,8350000
Sparfvenfeltsgatan,2,43,Lägenhet, Hammarbyhöjden,jan,2020,2395000,3,1936,2910000
Apelvägen,90,77,Villa, Älvsjö,jan,2020,6475000,2,1940,7250000
Lilla,4,86,Lägenhet, Aspudden,jan,2020,5995000,2,1912,6530000
Grev,2,61,Lägenhet, Östermalm,jan,2020,7300000,2,1882,7250000
Stöttingsgränd,2.5,59,Lägenhet, Västertorp,jan,2020,2395000,1,1950,2920000
Motalavägen,3,40,Lägenhet, Hjorthagen,jan,2020,2695000,3,1935,2800000
Dartanjangs,3,81,Lägenhet, Annedal,jan,2020,3895000,3,2012,4000000
Mariehällsvägen,3,78,Lägenhet, Bromma,okt,2019,4495000,5,1960,4850000
Snörmakarvägen,2,38,Lägenhet, Bromma,okt,2019,2195000,2,1960,2480000
Thorildsvägen,2.5,71,Lägenhet, Kungsholmen,jan,2020,3995000,2,1929,4760000
Sysslomansgatan,1,24,Lägenhet, Kungsholmen,nov,2019,2175000,2,1939,2650000
Creutzgatan,2,55,Lägenhet, Kungsholmen,sep,2019,4700000,2,1927,4965000
Kungsholms,2,70,Lägenhet, Kungsholmen,sep,2018,5248359,2,1902,5600000
Parkgatan,2,66,Lägenhet, Kungsholmen,jan,2020,6295000,2,1902,6670000
Skönviksvägen,2,58,Lägenhet, Stureby,jan,2020,2295000,3,1954,2750000
Mörsilsgatan,4,94,Lägenhet, Hässelby-Vällingby,jan,2020,3495000,2,1954,3825000
Askängsbacken,5,139,Radhus, Mariehäll,jan,2020,7695000,3,2013,8150000
Kvarnbacksvägen,3.5,71,Lägenhet, Riksby,jan,2020,2795000,3,1947,2910000
Ålgrytevägen,2,52,Lägenhet, Bredäng,jan,2020,2190000,1,2017,2450000
Pilgrimsvägen,2,46,Lägenhet, Aspudden,jan,2020,2795000,4,1938,3400000
Pilgrimsvägen,2,46,Lägenhet, Aspudden,jan,2020,2795000,4,1938,3400000
Wivalliusgatan,2,42,Lägenhet, Kungsholmen-Marieberg,jan,2020,3295000,2,1961,3700000
Valhallavägen,2,37,Lägenhet, Östermalm,jan,2020,3250000,5,1911,3700000
Kocksgatan,2,35,Lägenhet, Södermalm,jan,2020,2795000,1,1939,3100000
Forshagagatan,2,66,Lägenhet, Farsta centrum,jan,2020,1995000,2,1996,2450000
Jungfrugatan,2,58,Lägenhet, Östermalm,jan,2020,5695000,3,1893,6020000
Sandhamnsgatan,1.5,28,Lägenhet, Gärdet,jan,2020,2495000,2,1943,2865000
Borensvägen,2,55,Lägenhet, Årsta,jan,2020,2395000,3,1944,2925000
Pilotgatan,3,79,Lägenhet, Skarpnäck,jan,2020,2200000,1,1989,2250000
Hornsbergs,2,61,Lägenhet, Kungsholmen,jan,2020,4950000,4,2012,4850000
Erik,2,37,Lägenhet, Gärdet,jan,2020,2995000,4,1939,3800000
Torneågatan,2,49,Lägenhet, Entréplan,jan,2020,1395000,1,1977,1610000
Mellingebacken,1,39,Lägenhet, Tensta,jan,2020,1095000,5,1969,1420000
Heklagatan,5,147,Villa, Kistahöjden,nov,2019,5595000,1,2014,5500000
Stureparken,3.5,93,Lägenhet, Östermalm,jan,2020,10995000,1,1976,11720000
Borgågatan,4,89,Lägenhet, Kista,jan,2020,2200000,2,1976,2075000
Marmorgatan,1,28,Lägenhet, Södermalm,jan,2020,2295000,1,1952,2500000
Olof,2,39,Lägenhet, Norrmalm,jan,2020,3950000,2,1938,3950000
Paketgränd,2,54,Lägenhet, Svedmyra,jan,2020,2495000,2,2018,3260000
Vårbergsvägen,4,108,Lägenhet, Vårberg,jan,2020,1995000,2,1970,2400000
Tummelisas,4,95,Lägenhet, Bromma,jan,2020,4495000,3,2014,4700000
Borgarfjordsgatan,3,75,Lägenhet, Kista,jan,2020,2995000,13,2015,2995000
Elsa,4,93,Lägenhet, Fruängen,jan,2020,3295000,2,1957,4150000
Narvavägen,1,39,Lägenhet, Östermalm,jan,2020,4250000,3,1896,4450000
Doktor,1,25,Lägenhet, Fruängen,jan,2020,1690000,2,1953,2025000
Kabelverksgatan,4,95,Lägenhet, Älvsjö,jan,2020,4490000,5,2019,5160000
Hallsbergsgatan,2,42,Lägenhet, Hagsätra,jan,2020,1795000,6,2015,2110000
Årdalavägen,8,179,Villa, Älvsjö,jan,2020,8900000,2,1967,8900000
Stjärnsundsgatan,3,67,Lägenhet, Bandhagen,jan,2020,2450000,2,1960,2450000
Trollesundsvägen,1,18,Lägenhet, Högdalen,jan,2020,1495000,1,1955,1495000
Surbrunnsgatan,2,44,Lägenhet, Vasastan,jan,2020,4095000,2,1907,4450000
Årstavägen,3,73,Lägenhet, Årsta,jan,2020,3995000,4,1896,4475000
Krukmakargatan,1,33,Lägenhet, Södermalm Maria Magdalena,jan,2020,2875000,1,1896,3460000
Parmmätargatan,4,88,Lägenhet, Kungsholmen,jan,2020,9675000,5,1930,9675000
Ringvägen,2,54,Lägenhet, Södermalm Högalid,jan,2020,3675000,5,1990,4120000
Ringvägen,2,54,Lägenhet, Södermalm Högalid,jan,2020,3675000,5,1990,4120000
Hallandsgatan,2,65,Lägenhet, Södermalm Katarina,jan,2020,4775000,2,1927,5750000
Maria,3,93,Lägenhet, Södermalm Maria Magdalena,dec,2019,7950000,3,1905,9025000
